"","Name","Platform","Year_of_Release","Genre","Publisher","NA_Sales","EU_Sales","JP_Sales","Other_Sales","Global_Sales","Critic_Score","Critic_Count","User_Score","User_Count","Developer","Rating"
"15978","Paranormal Pursuit: The Gifted One","PC","2015","Action","Alawar Entertainment",0,0.01,0,0,0.02,NA,NA,97,NA,"Logris Games",""
"15980","Marvel Superheroes 3D: Grandmaster's Challenge","Wii","2010","Action","Neko Entertainment",0,0.01,0,0,0.02,NA,NA,1,NA,"",""
"15983","The Sims 4: Luxury Party Stuff","PC","2015","Simulation","Electronic Arts",0,0.01,0,0,0.02,NA,NA,52,12,"Maxis","T"
"15985","Achtung Panzer: Kharkov 1943","PC","2010","Strategy","Mamba Games",0,0.01,0,0,0.02,70,6,82,20,"Paradox Interactive",""
"15987","Sora no Otoshimono Forte: Dreamy Season","DS","2011","Adventure","Kadokawa Shoten",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15988","Romance of the Three Kingdoms XII","WiiU","2012","Strategy","Tecmo Koei",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15993","Wand of Fortune R","PSV","2016","Adventure","Idea Factory",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15994","Rugby World Cup 2015","PSV","2015","Sports","Ubisoft",0,0.01,0,0,0.02,NA,NA,97,NA,"HB Studios Multimedia","E"
"15995","Majesty 2 Collection","PC","2011","Strategy","Paradox Interactive",0,0.01,0,0,0.02,NA,NA,82,10,"Ino-Co","T"
"15996","God Eater Off Shot: Soma Shikkuzaru-hen Twin Pack & Animation Vol.4","PS4","2016","Action","Namco Bandai Games",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15997","God Eater Off Shot:Shiou-hen Twin Pack & Animation Vol.5","PS4","2016","Misc","Namco Bandai Games",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"15999","Harukanaru Toki no Naka de 6","PSP","2015","Action","Tecmo Koei",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16003","Gummy Bears Magical Medallion","Wii","2011","Platform","Storm City Games",0.01,0,0,0,0.02,NA,NA,97,NA,"Clockwork Games","E"
"16004","Saenai Kanojo no Sodatekata: Blessing Flowers","PSV","2015","Action","5pb",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16005","Berserk and the Band of the Hawk","PSV","2016","Action","Tecmo Koei",0,0,0.02,0,0.02,NA,NA,1,NA,"Omega Force",""
"16007","Brave: The Video Game","DS","2012","Action","Disney Interactive Studios",0,0.01,0,0,0.02,NA,NA,97,NA,"Behaviour Interactive","E10+"
"16013","Adventure Time: The Secret of the Nameless ","3DS","2014","Adventure","Little Orbit",0.01,0,0,0,0.02,NA,NA,1,NA,"",""
"16015","Shin Hisui no Shizuku: Hiiro no Kakera 2 Portable","PSP","2010","Adventure","Idea Factory",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16016","Dead Rising 2","XOne","2016","Action","Capcom",0.01,0,0,0,0.02,NA,NA,97,NA,"Blue Castle Games","M"
"16018","Mark McMorris Infinite Air","XOne","2016","Sports","FuRyu Corporation",0.01,0,0,0,0.02,NA,NA,70,18,"HB Studios Multimedia","T"
"16019","Sid Meier's Civilization Revolution 2+","PSV","2015","Strategy","Take-Two Interactive",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16023","Powerbike","DS","2009","Racing","Majesco Entertainment",0.01,0,0,0,0.02,NA,NA,97,NA,"Tornado Studios","E"
"16025","Violet no Atelier: Gramnad no Renkinjutsushi 2 - Gunjou no Omoide","PSP","2011","Role-Playing","Gust",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
"16026","Elminage II DS Remix: Sousei no Megami to Unmai no Daichi","DS","2010","Role-Playing","Starfish",0,0,0.02,0,0.02,NA,NA,1,NA,"",""
